Review,NP1,NP2,NP1isPr,NP2isPr,NP2isDefNP,NP2isDemNP,isBothPropername,Stringsimilary,Distance,NumberAgreement,isBetween,hasBetween,Comparative,PMI,COREF
0,46,47,false,false,false,false,false,true,0,true,false,false,false,0.0,true
0,36,37,false,false,false,false,false,false,0,true,true,false,false,0.0,false
0,35,37,false,false,false,false,false,false,0,true,true,false,false,0.0,false
0,34,37,false,false,false,false,false,false,0,true,true,false,false,0.0,true
0,33,34,false,false,false,true,false,false,0,false,false,false,false,0.0,false
0,32,34,false,false,false,true,false,false,0,false,false,false,false,0.0,false
0,31,34,false,false,false,true,false,false,0,true,false,false,false,0.0,false
0,30,34,false,false,false,true,false,false,0,true,false,false,false,0.0,false
0,29,34,false,false,false,true,false,false,1,true,false,false,false,0.0,true
0,28,29,false,false,true,false,false,false,0,true,false,false,false,0.0,false
0,27,29,false,false,true,false,false,false,1,false,false,false,false,0.0,false
0,26,29,false,false,true,false,false,false,1,true,false,false,false,0.0,false
0,25,29,false,false,true,false,false,false,1,true,false,false,false,0.0,false
0,24,29,false,false,true,false,false,false,1,true,false,false,false,0.0,false
0,23,29,false,false,true,false,false,false,2,true,false,false,false,0.0,false
0,22,29,false,false,true,false,false,false,2,true,false,false,false,0.0,false
0,21,29,false,false,true,false,false,false,2,true,false,false,false,0.0,false
0,20,29,false,false,true,false,false,false,2,false,false,false,false,0.0,false
0,19,29,false,false,true,false,false,false,2,false,false,false,false,0.0,false
0,18,29,false,false,true,false,false,false,2,false,false,false,false,0.0,false
0,17,29,false,false,true,false,false,false,3,true,false,false,false,0.0,false
0,16,29,true,false,true,false,false,false,3,false,false,false,false,0.0,true
0,21,22,false,false,false,false,false,true,0,true,false,false,false,0.0,true
0,19,20,false,false,true,false,false,false,0,false,false,false,false,0.0,false
0,18,20,false,false,true,false,false,false,0,false,false,false,false,0.0,true
0,15,16,false,true,false,false,false,false,1,false,false,false,false,0.0,false
0,14,16,false,true,false,false,false,false,1,false,false,false,false,0.0,false
0,13,16,false,true,false,false,false,false,1,false,false,false,false,0.0,false
0,12,16,false,true,false,false,false,false,2,false,false,false,false,0.0,false
0,11,16,true,true,false,false,false,true,2,true,false,false,false,0.0,true
0,10,11,false,true,false,false,false,false,0,true,false,false,false,0.0,false
0,9,11,true,true,false,false,false,false,0,false,false,false,false,0.0,false
0,8,11,false,true,false,false,false,false,0,true,false,false,false,0.0,false
0,7,11,true,true,false,false,false,true,0,true,false,false,false,0.0,true
0,6,7,false,true,false,false,false,false,0,true,false,false,false,0.0,false
0,5,7,false,true,false,false,false,false,0,false,false,false,false,0.0,true
0,4,5,false,false,false,true,false,true,0,false,false,false,false,0.0,true
0,3,4,false,false,false,true,false,false,1,false,false,false,false,11.623,true
0,2,3,true,false,false,false,false,false,0,false,true,false,false,0.0,true
0,1,2,false,true,false,false,false,false,1,true,false,false,false,0.0,true
0,0,1,false,false,true,false,false,true,0,true,false,false,false,0.0,true
1,7,8,false,true,false,false,false,false,0,true,false,false,false,0.0,false
1,6,8,false,true,false,false,false,false,0,true,false,false,false,0.0,true
1,5,6,false,false,true,false,false,true,0,true,false,false,false,0.0,false
1,4,6,false,false,true,false,false,false,1,false,false,false,false,0.0,false
1,3,6,false,false,true,false,false,false,1,false,false,false,false,0.0,false
1,2,6,false,false,true,false,false,false,1,false,false,false,false,0.0,false
1,1,6,false,false,true,false,false,false,1,false,false,false,false,0.0,true
1,0,1,false,false,false,false,false,false,0,false,true,false,false,0.0,true
2,18,19,true,true,false,false,false,true,0,true,false,false,false,0.0,true
2,17,18,true,true,false,false,false,true,0,true,false,false,false,0.0,true
2,16,17,false,true,false,false,false,false,0,false,false,false,false,0.0,false
2,15,17,false,true,false,false,false,false,0,false,false,false,false,0.0,false
2,14,17,true,true,false,false,false,true,1,true,false,false,false,0.0,true
2,13,14,false,true,false,false,false,false,0,false,false,false,false,0.0,false
2,12,14,false,true,false,false,false,false,0,true,false,false,false,0.0,false
2,11,14,false,true,false,false,false,false,0,true,false,false,false,0.0,false
2,10,14,true,true,false,false,false,true,0,true,false,true,false,0.0,true
2,9,10,false,true,false,false,false,false,0,false,false,false,false,0.0,false
2,8,10,false,true,false,false,false,false,0,false,false,false,false,0.0,false
2,7,10,false,true,false,false,false,false,0,true,false,false,false,0.0,false
2,6,10,false,true,false,false,false,false,0,true,false,false,false,0.0,false
2,5,10,false,true,false,false,false,false,0,true,false,false,false,0.0,false
2,4,10,true,true,false,false,false,true,0,true,false,false,false,0.0,true
2,3,4,false,true,false,false,false,false,1,false,false,false,false,0.0,false
2,2,4,false,true,false,false,false,false,1,false,false,false,false,0.0,true
2,1,2,false,false,false,false,false,true,0,false,false,false,false,0.0,false
2,0,2,false,false,false,false,false,true,0,false,false,false,false,0.0,true
3,30,31,false,false,false,true,false,false,0,false,false,true,false,0.0,false
3,29,31,false,false,false,true,false,false,0,false,false,false,false,0.0,true
3,28,29,false,false,true,false,false,false,0,false,true,false,false,0.0,true
3,27,28,false,false,false,true,false,false,2,false,false,false,false,0.0,false
3,26,28,false,false,false,true,false,false,2,false,false,false,false,0.0,false
3,25,28,false,false,false,true,false,false,2,false,false,false,false,0.0,false
3,24,28,false,false,false,true,false,false,2,false,false,false,false,0.0,false
3,23,28,false,false,false,true,false,false,2,false,false,false,false,0.0,false
3,22,28,false,false,false,true,false,false,2,false,false,false,false,0.0,false
3,21,28,false,false,false,true,false,false,2,false,false,false,false,0.0,false
3,20,28,false,false,false,true,true,false,2,true,false,false,false,0.0,false
3,19,28,false,false,false,true,false,false,3,false,false,false,false,0.0,false
3,18,28,false,false,false,true,false,false,4,false,false,false,false,0.0,false
3,17,28,false,false,false,true,false,false,4,false,false,false,false,0.0,false
3,16,28,false,false,false,true,false,false,4,false,false,false,false,0.0,true
3,25,26,false,false,false,false,false,true,0,true,false,false,false,0.0,true
3,21,22,false,false,false,false,false,true,0,true,false,false,false,0.0,true
3,15,16,false,false,true,false,false,false,0,true,false,false,false,0.0,false
3,14,16,false,false,true,false,false,false,1,true,false,false,false,0.0,false
3,13,16,false,false,true,false,false,false,1,true,false,false,false,0.0,false
3,12,16,false,false,true,false,false,true,1,true,false,false,false,0.0,true
3,11,12,false,false,true,false,false,false,1,true,false,false,false,0.0,false
3,10,12,false,false,true,false,false,false,1,true,false,false,false,0.0,false
3,9,12,false,false,true,false,false,false,1,true,false,false,false,0.0,false
3,8,12,true,false,true,false,false,false,1,true,false,false,false,0.0,true
3,7,8,false,true,false,false,false,false,0,false,false,false,false,0.0,false
3,6,8,false,true,false,false,false,false,0,true,false,false,false,0.0,false
3,5,8,false,true,false,false,false,false,0,true,false,false,false,0.0,false
3,4,8,false,true,false,false,false,false,0,true,true,false,false,0.0,true
3,3,4,false,false,false,false,false,false,1,false,false,false,false,0.0,false
3,2,4,false,false,false,false,false,false,1,true,false,false,false,0.0,false
3,1,4,false,false,false,false,false,true,1,true,false,false,false,0.0,true
3,0,1,false,false,true,false,false,true,0,true,false,false,false,0.0,true
4,20,21,false,true,false,false,false,false,0,true,true,false,false,0.0,true
4,19,20,false,false,true,false,false,true,0,true,false,false,false,0.0,false
4,10,11,false,true,false,false,false,false,1,true,false,false,false,0.0,false
4,9,11,false,true,false,false,false,false,1,true,false,false,false,0.0,false
4,8,11,false,true,false,false,false,false,1,true,false,false,false,0.0,false
4,7,11,false,true,false,false,false,false,1,false,false,false,false,0.0,false
4,6,11,false,true,false,false,false,false,1,false,false,false,false,0.0,false
4,5,11,false,true,false,false,false,false,1,true,false,false,false,0.0,false
4,4,11,false,true,false,false,false,false,2,true,false,false,false,0.0,false
4,3,11,false,true,false,false,false,false,2,true,false,false,false,0.0,false
4,2,11,false,true,false,false,false,false,2,true,false,false,false,0.0,true
4,1,2,false,false,true,false,false,false,0,true,true,false,false,0.0,true
5,46,47,false,false,false,true,false,false,0,true,true,false,false,0.0,false
5,45,47,false,false,false,true,false,false,1,true,false,false,false,0.0,false
5,44,47,false,false,false,true,false,false,1,true,false,false,false,0.0,false
5,43,47,true,false,false,true,false,false,1,false,false,false,false,0.0,true
5,42,43,false,true,false,false,false,false,0,false,false,false,false,0.0,false
5,41,43,false,true,false,false,false,false,0,false,false,false,false,0.0,true
5,40,41,false,false,false,false,false,false,1,false,false,false,false,0.0,false
5,39,41,false,false,false,false,false,false,1,false,false,false,false,0.0,false
5,38,41,true,false,false,false,false,false,2,false,false,false,false,0.0,true
5,39,40,false,false,false,true,false,false,0,false,false,false,false,0.0,false
5,38,40,true,false,false,true,false,false,1,true,false,false,false,0.0,true
5,37,38,false,true,false,false,false,false,0,true,false,false,false,3.867,false
5,36,38,false,true,false,false,false,false,0,true,false,false,false,0.0,false
5,35,38,false,true,false,false,false,false,1,true,false,false,false,0.0,true
5,33,34,false,false,false,true,false,false,0,true,false,false,false,0.0,false
5,32,34,false,false,false,true,false,false,0,true,false,false,false,0.0,false
5,31,34,false,false,false,true,false,false,1,true,false,false,false,0.0,false
5,30,34,true,false,false,true,false,false,1,true,false,false,false,0.0,true
5,29,30,false,true,false,false,false,false,0,true,false,false,false,0.0,false
5,28,30,false,true,false,false,false,false,0,true,false,false,false,0.0,false
5,27,30,true,true,false,false,false,true,0,false,false,true,false,0.0,false
5,26,30,false,true,false,false,false,false,1,true,false,false,false,0.0,false
5,25,30,false,true,false,false,false,false,1,true,false,false,false,5.254,false
5,24,30,false,true,false,false,false,false,1,false,false,false,false,0.0,false
5,23,30,false,true,false,false,false,false,1,true,false,false,false,0.0,true
5,25,26,false,false,false,false,false,true,0,true,false,false,false,4.467,true
5,22,23,false,false,true,false,false,false,1,true,false,false,false,0.0,false
5,21,23,false,false,true,false,false,false,1,true,false,false,false,0.0,false
5,20,23,false,false,true,false,false,false,1,true,false,false,false,0.0,false
5,19,23,false,false,true,false,false,false,1,true,false,false,false,0.0,false
5,18,23,false,false,true,false,false,false,1,false,false,false,false,0.0,false
5,17,23,false,false,true,false,false,false,1,true,false,false,false,0.0,false
5,16,23,false,false,true,false,false,false,2,false,false,false,false,0.0,false
5,15,23,false,false,true,false,false,false,2,false,false,false,false,0.0,false
5,14,23,false,false,true,false,false,false,2,false,false,false,false,0.0,false
5,13,23,false,false,true,false,false,false,2,false,false,false,false,0.0,false
5,12,23,false,false,true,false,false,false,2,true,false,false,false,0.0,false
5,11,23,false,false,true,false,false,false,2,true,false,false,false,0.0,false
5,10,23,false,false,true,false,false,false,2,true,false,false,false,0.0,false
5,9,23,false,false,true,false,false,false,2,true,false,false,false,0.0,false
5,8,23,false,false,true,false,false,false,3,false,false,false,false,0.0,false
5,7,23,true,false,true,false,false,false,3,true,false,false,false,0.0,true
5,6,7,false,true,false,false,false,false,0,true,false,false,false,0.0,true
5,5,6,false,false,false,false,false,false,0,true,true,false,false,2.234,false
